Organization,Project Name,Project (sq.ft.),Project Address,Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State
,Ella Wooten Park at Mueller,3430,2047 MCCLOSKEY ST,78723,0,0,0,1,0,4-star,,Other,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2008,,POINT (-97.702713608 30.292802699),1,,10/01/2007,09/30/2008,Austin,TX
,AUS Administration Building,81800,3600 PRESIDENTIAL BLVD,78719,0,0,0,0,0,,Gold,Office,,Yes,Commercial,LEED BD+C: New Construction v3 - LEED 2009,2021,,POINT (-97.667525009 30.20215699),5,,10/01/2020,09/30/2021,Austin,TX
,Turner Roberts Recreation Center,14800,7201 COLONY LOOP DR,78724,0,0,1,0,0,3-star,Silver,Other,,Yes,Commercial,Commercial Rating 2006,2011,,POINT (-97.635997989 30.300327013),1,,10/01/2010,09/30/2011,Austin,TX
,LIVESTRONG Foundation,28242,505 ROBERT T MARTINEZ JR ST,78702,0,0,0,1,0,4-star,,Office,,Yes,Commercial,Commercial Rating 2008,2009,,POINT (-97.718582376 30.260134089),1,,10/01/2008,09/30/2009,Austin,TX
,City of Austin Planning & Development Center,262800,6310 WILHELMINA DELCO DR,78752,0,0,0,1,0,4-star,,Office/ Retail,,Yes,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.71631 30.33275),5,0,10/01/2020,09/30/2021,Austin,TX
,Domain 12,325307,11800 ALTERRA PKWY,78758,0,0,0,0,0,,Gold,Office,"Domain (PDA), Domain - LEED only",No,Commercial,LEED BD+C: Core and Shell v3 - LEED 2009,2020,,POINT (-97.719360961 30.404095981),17,,10/01/2019,09/30/2020,Austin,TX
,Shops at Braker Domain,13140,3310 W BRAKER LN,78758,1,0,0,0,0,1-star,,Retail,North Burnet/Gateway,No,Commercial,Commercial Rating 2010,2017,,POINT (-97.725987024 30.393022984),1,,10/01/2016,09/30/2017,Austin,TX
,Austin Energy Town Lake Center 5th Floor,17980,721 BARTON SPRINGS RD,78704,0,0,0,0,0,,Silver,Office,,Yes,Commercial,LEED ID+C: Commercial Interiors v3 - LEED 2009,2017,,POINT (-97.751976036 30.258649006),1,,10/01/2016,09/30/2017,Austin,TX
,EcoMat of Austin,19885,2915 GUADALUPE ST,78705,0,0,0,0,0,pilot,,Retail,,Yes,Commercial,Pilot Commercial Rating,1998,,POINT (-97.742155966 30.295759002),1,,10/01/1997,09/30/1998,Austin,TX
,Dell Pediatric Research Institute,150000,1400 BARBARA JORDAN BLVD,78723,0,0,0,0,0,,Gold,Other,Mueller LEED only,No,Commercial,LEED BD+C: New Construction v2 - LEED 2.2,2009,,POINT (-97.704081003 30.304783001),3,,10/01/2008,09/30/2009,Austin,TX
,Velocity Credit Union - Downtown Branch,5251,705 E 12TH ST,78701,1,0,0,0,0,1-star,,Office,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.73368203 30.271613002),1,0,10/01/2020,09/30/2021,Austin,TX
,Dell Children's - Specialty Pavilion,161320,4910 MUELLER BLVD,78723,0,0,0,1,0,4-star,,Office/ Health Care,"Mueller Development (PUD), Mueller LEED only",No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.706071035 30.302221994),4,,10/01/2022,09/30/2023,Austin,TX
,AISD Southeast Bus Terminal,20650,7200 BLUFF SPRINGS RD,78745,0,1,0,0,0,2-star,,Office/ Other,,Yes,Commercial,Commercial Rating 2009,2013,,POINT (-97.771318032 30.182329011),1,,10/01/2012,09/30/2013,Austin,TX
,Eyemasters at Mueller,3490,1201 BARBARA JORDAN BLVD 14 UNIT 1480,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2010,,POINT (-97.70985999 30.30557002),1,,10/01/2009,09/30/2010,Austin,TX
,St. David's Foundation,47215,1303 SAN ANTONIO ST,78701,1,0,0,0,0,1-star,,Office/ Retail,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2016,,POINT (-97.744427965 30.276640006),8,,10/01/2015,09/30/2016,Austin,TX
,Covered Bridge Village - Retail Building 1,4880,8701 W SH 71,78735,0,1,0,0,0,2-star,,Retail/ Restaurant/ Other,Covered Bridge PUD,No,Commercial,COMMERCIAL RATING 2013,2018,,POINT (-97.895536999 30.249849013),1,,10/01/2017,09/30/2018,Austin,TX
,2100 Nueces Street,188607,2100 NUECES ST,78705,1,0,0,0,0,1-star,,Residential,University Neighborhood Overlay (UNO),No,Commercial,COMMERCIAL RATING 2016,2019,,POINT (-97.744359988 30.28416201),18,158,10/01/2018,09/30/2019,Austin,TX
,Church of Conscious Harmony,30435,7406 NEWHALL LN,78746,0,0,0,0,0,pilot,,Worship,,Yes,Commercial,Pilot Commercial Rating,2000,,POINT (-97.844727998 30.307431012),1,,10/01/1999,09/30/2000,Austin,TX
,Frost Bank - Mueller,4760,1200 BARBARA JORDAN BLVD 2,78723,0,0,0,0,0,,Gold,Office,Mueller LEED only,No,Commercial,LEED BD+C: New Construction v2 - LEED 2.1,2010,,POINT (-97.70983803 30.307796002),1,,10/01/2009,09/30/2010,Austin,TX
,Container Bar,2215,610 DAVIS ST,78701,1,0,0,0,0,1-star,,Office/ Other,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2017,,POINT (-97.738455021 30.260315999),2,,10/01/2016,09/30/2017,Austin,TX
,Holdsworth Center,194000,4907 FM 2222 RD,78731,0,0,0,1,0,4-star,,Office/ Restaurant/ Hotel/ School/ Other,Holdsworth Center PUD,No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.753635 30.35873),31,247,10/01/2021,09/30/2022,Austin,TX
,2100 San Antonio Apartments,232542,2100 SAN ANTONIO ST,78704,1,0,0,0,0,1-star,,Residential/ Worship,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Commercial,COMMERCIAL RATING 2013,2018,,POINT (-97.743271011 30.284163016),19,188,10/01/2017,09/30/2018,Austin,TX
,AISD Jaime D. Padròn Elementary School,160070,2011 RUNDBERG LN,78758,0,0,0,1,0,4-star,Gold,School,,Yes,Commercial,Commercial Rating 2009,2015,,POINT (-97.720049032 30.373526006),1,,10/01/2014,09/30/2015,Austin,TX
,AISD Hill Elementary Renovations/Library Addition,70185,8601 TALLWOOD DR,78759,0,0,0,0,0,pilot,,School,,Yes,Commercial,Pilot Commercial Rating,2001,,POINT (-97.748703993 30.376637997),1,,10/01/2000,09/30/2001,Austin,TX
,Ann Richards School for Young Women Leaders,205750,2309 PANTHER TRL,78704,0,0,0,1,0,4-star,Silver,School,,Yes,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.78828401 30.236441991),1,,10/01/2021,09/30/2022,Austin,TX
,Blazier Intermediate School,137172,8801 VERTEX BLVD,78744,0,0,0,1,0,4-star,,School,,Yes,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.752777131 30.152859745),3,,10/01/2021,09/30/2022,Austin,TX
,Dell Children's Medical Center of Central Texas at Mueller,475000,4900 MUELLER BLVD,78723,0,0,0,0,1,5-star,Platinum,Health Care,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2008,,POINT (-97.706609991 30.303677009),3,,10/01/2007,09/30/2008,Austin,TX
,AISD Stephen F. Austin High School Additions and Renovations,21350,1715 W CESAR CHAVEZ ST,78703,0,0,1,0,0,3-star,,School,,Yes,Commercial,Commercial Rating 2009,2011,,POINT (-97.767058014 30.273657013),2,,10/01/2010,09/30/2011,Austin,TX
,Harrison Building,10803,3205 INDUSTRIAL TER,78758,1,0,0,0,0,1-star,,Office/ Warehouse,North Burnet/Gateway,No,Commercial,COMMERCIAL RATING 2013,2020,,POINT (-97.732369005 30.38090602),2,,10/01/2019,09/30/2020,Austin,TX
,The Austonian,648224,200 CONGRESS AVE,78701,0,0,0,1,0,4-star,,Residential/ Retail,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2006,2012,,POINT (-97.744490997 30.264792983),56,163,10/01/2011,09/30/2012,Austin,TX
,The Whitley,281700,301 BRAZOS ST,78701,0,0,1,0,0,3-star,Silver,Residential/ Office/ Retail/ Other,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2014,,POINT (-97.741889003 30.265021012),17,262,10/01/2013,09/30/2014,Austin,TX
,Domain 2.5,60030,11809 DOMAIN DR,78758,0,0,0,0,0,,Silver,Office,Domain - LEED only,No,Commercial,LEED BD+C: Core & Shell v4,2023,,POINT (-97.72309401 30.404331009),4,,10/01/2022,09/30/2023,Austin,TX
,South Block FLR - II,27800,405 N LAMAR BLVD,78703,1,0,0,0,0,1-star,,Office/ Retail,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2014,,POINT (-97.754579958 30.269402987),3,,10/01/2013,09/30/2014,Austin,TX
,Mueller Central at Mueller,8540,4550 MUELLER BLVD,78723,0,0,0,1,0,4-star,Gold,Office,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2007,,POINT (-97.707302001 30.297201988),1,,10/01/2006,09/30/2007,Austin,TX
,Sienna at the Thompson,640892,501 BRAZOS ST,78701,0,1,0,0,0,2-star,,Residential/ Retail/ Hotel,"Downtown (CBD-DMU), Downtown Density Bonus Program (DDBP)",No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.741174026 30.266868007),32,331,10/01/2022,09/30/2023,Austin,TX
,Third & Trinity Restaurants - Shell Building,19244,305 E 3RD ST,78701,1,0,0,0,0,1-star,,Restaurant,,Yes,Commercial,Pilot Commercial Rating,2005,,POINT (-97.740811006 30.264107008),2,,10/01/2004,09/30/2005,Austin,TX
,Austin Habitat for Humanity ReStore and Headquarters,52446,500 W BEN WHITE BLVD,78704,0,0,0,1,0,4-star,,Office/ Retail/ Warehouse,,Yes,Commercial,COMMERCIAL RATING 2013,2019,,POINT (-97.767864018 30.226638015),1,,10/01/2018,09/30/2019,Austin,TX
,Public,281710,4361 S CONGRESS AVE,78745,0,1,0,0,0,2-star,,Residential/ Office,4367 S Congress Ave (RCA),No,Commercial,COMMERCIAL RATING 2013,2019,,POINT (-97.766548981 30.217600982),7,,10/01/2018,09/30/2019,Austin,TX
,The Villas at Nueces,143696,2207 NUECES ST,78705,1,0,0,0,0,1-star,,Residential,University Neighborhood Overlay (UNO),No,Commercial,COMMERCIAL RATING 2016,2020,,POINT (-97.743544009 30.285625993),7,99,10/01/2019,09/30/2020,Austin,TX
,Old Navy at Mueller,14980,1201 BARBARA JORDAN BLVD 5,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2007,,POINT (-97.709006964 30.306354021),1,,10/01/2006,09/30/2007,Austin,TX
,Daniel E. Ruiz Branch Library,20110,1600 GROVE BLVD,78741,0,0,1,0,0,3-star,,Library,,Yes,Commercial,Pilot Commercial Rating,2005,,POINT (-97.707050963 30.229867017),2,,10/01/2004,09/30/2005,Austin,TX
,Amplify Credit Union Esperanza Crossing Branch,8730,2800 ESPERANZA XING 2,78758,1,0,0,0,0,1-star,,Other,North Burnet/Gateway,No,Commercial,COMMERCIAL RATING 2013,2017,,POINT (-97.718582031 30.398529014),1,,10/01/2016,09/30/2017,Austin,TX
,Mary Elizabeth Branch Park Pavilion,12271,2006 PHILOMENA ST,78723,0,0,1,0,0,3-star,,Other,Mueller Development (PUD),No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.702709996 30.300002219),35,249,10/01/2021,09/30/2022,Austin,TX
,City of Austin Fire Station #3 - Women's Locker Room Addition,275,201 W 30TH ST,78705,0,0,0,0,0,pilot,,Municipal,,Yes,Commercial,Pilot Commercial Rating,2007,,POINT (-97.738760038 30.29466399),1,,10/01/2006,09/30/2007,Austin,TX
,Chipotle- Sunset Valley,2800,5400 BRODIE LN UNIT 1240,78745,0,0,1,0,0,3-star,,Restaurant,,Yes,Commercial,Pilot Commercial Rating,2002,,POINT (-97.822666996 30.227786),1,,10/01/2001,09/30/2002,Austin,TX
,The Girls' School of Austin,12400,2007 MCCALL RD,78703,0,0,0,1,0,4-star,,School,,Yes,Commercial,Commercial Rating 2010,2014,,POINT (-97.763413981 30.292829988),2,,10/01/2013,09/30/2014,Austin,TX
,Waterfront Phase 2,420000,2300 CLOUD WAY,78741,0,0,0,1,0,4-star,,Office,Lakeshore (PUD),No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.721996274 30.243022702),2,,10/01/2021,09/30/2022,Austin,TX
,House Pizzeria,2400,5111 AIRPORT BLVD,78751,0,0,0,1,0,4-star,,Restaurant,,Yes,Commercial,Commercial Rating 2007,2010,,POINT (-97.715007988 30.31273399),1,,10/01/2009,09/30/2010,Austin,TX
,Dental Smiles at Mueller,2500,1201 BARBARA JORDAN BLVD 14 UNIT 1435,78723,0,0,1,0,0,3-star,,Health Care,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2011,,POINT (-97.70985999 30.30557002),1,,10/01/2010,09/30/2011,Austin,TX
,Moxy Hotel Austin,87000,2552 GUADALUPE ST,78705,1,0,0,0,0,1-star,,Hotel,University Neighborhood Overlay (UNO),No,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.741653974 30.290189982),4,0,10/01/2020,09/30/2021,Austin,TX
,Eastlake at Tillery,174153,3212 E CESAR CHAVEZ ST,78702,0,0,1,0,0,3-star,,Office,,Yes,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.707789996 30.252283998),3,0,10/01/2020,09/30/2021,Austin,TX
,Topgolf Austin,56620,2700 ESPERANZA XING,78758,1,0,0,0,0,1-star,,Retail/ Restaurant,North Burnet/Gateway,No,Commercial,Commercial Rating 2010,2015,,POINT (-97.717474027 30.398235019),3,,10/01/2014,09/30/2015,Austin,TX
,AISD Lanier High School,14300,1201 PAYTON GIN RD,78758,0,1,0,0,0,2-star,,School,,Yes,Commercial,Commercial Rating 2009,2013,,POINT (-97.708061988 30.360306991),1,,10/01/2012,09/30/2013,Austin,TX
,Elements at Mueller,370200,4646 MUELLER BLVD,78723,0,0,1,0,0,3-star,,Residential,"Mueller Development (PUD), S.M.A.R.T. Housing",No,Commercial,Commercial Rating 2007,2014,,POINT (-97.707469975 30.300120986),4,301,10/01/2013,09/30/2014,Austin,TX
,Chipotle,2500,801 CONGRESS AVE,78701,0,0,0,1,0,4-star,,Restaurant,,Yes,Commercial,Pilot Commercial Rating,2004,,POINT (-97.741634025 30.269962982),1,,10/01/2003,09/30/2004,Austin,TX
,Brentwood Elementary School,100874,6703 YATES AVE,78757,0,0,0,1,0,4-star,,School,,Yes,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.732581755 30.340377513),2,,10/01/2022,09/30/2023,Austin,TX
,AISD Clayton Elementary School,92932,7525 LA CROSSE AVE,78739,0,1,0,0,0,2-star,,School,,Yes,Commercial,AISD Rating 2006,2007,,POINT (-97.90638402 30.194893987),1,,10/01/2006,09/30/2007,Austin,TX
,Texan Pearl,113510,2515 PEARL ST,78705,1,0,0,0,0,1-star,,Residential,University Neighborhood Overlay (UNO),No,Commercial,Commercial Rating 2006,2009,,POINT (-97.746244994 30.290475008),6,81,10/01/2008,09/30/2009,Austin,TX
,Westview,106195,316 W 12TH ST,78701,1,0,0,0,0,1-star,,Office,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2013,2018,,POINT (-97.743560019 30.275139017),7,,10/01/2017,09/30/2018,Austin,TX
,CARTS Eastside Bus Plaza,2240,363 SHADY LN,78702,0,0,1,0,0,3-star,,Retail/ Other,,Yes,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.697933967 30.251676981),1,,10/01/2022,09/30/2023,Austin,TX
,HPI Domain Office,319993,10721 DOMAIN DR,78758,1,0,0,0,0,1-star,Silver,Office,North Burnet/Gateway,No,Commercial,COMMERCIAL RATING 2013,2020,,POINT (-97.722992002 30.392804006),11,0,10/01/2019,09/30/2020,Austin,TX
,Apple Vista Ridge Campus,53804,916 S CAPITAL OF TEXAS HWY,78746,0,0,1,0,0,3-star,,Office,,Yes,Commercial,Commercial Rating 2009,2012,,POINT (-97.826658039 30.284921997),2,,10/01/2011,09/30/2012,Austin,TX
,Twenty Two 15,150000,2215 RIO GRANDE ST,78705,1,0,0,0,0,1-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Commercial,Commercial Rating 2010,2016,,POINT (-97.744544976 30.286290008),8,125,10/01/2015,09/30/2016,Austin,TX
,SKYLOFTS,340287,507 W 23RD ST,78705,1,0,0,0,0,1-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Commercial,COMMERCIAL RATING 2013,2019,,POINT (-97.743557001 30.286375),18,212,10/01/2018,09/30/2019,Austin,TX
,Doc Green's Gourmet Salads and Grill at Mueller,2105,1201 BARBARA JORDAN BLVD UNIT 1220,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2008,,POINT (-97.70985999 30.30557002),1,,10/01/2007,09/30/2008,Austin,TX
,Third + Shoal,368805,607 W 3RD ST,78701,0,0,1,0,0,3-star,,Office/ Retail,"Downtown (CBD-DMU), Downtown Density Bonus Program (DDBP)",No,Commercial,COMMERCIAL RATING 2013,2020,,POINT (-97.750022969 30.26670502),29,,10/01/2019,09/30/2020,Austin,TX
,Great Nails at Mueller,1200,1201 BARBARA JORDAN BLVD 6 UNIT 610,78723,0,0,1,0,0,3-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2009,,POINT (-97.709006964 30.306354021),1,,10/01/2008,09/30/2009,Austin,TX
,Green Water Block 23,491638,500 W 2ND ST,78701,0,0,1,0,0,3-star,Gold,Office/ Restaurant,"Downtown (CBD-DMU), Green Water Treatment Plant Redevelopment",No,Commercial,COMMERCIAL RATING 2013,2018,,POINT (-97.749197016 30.266027008),29,,10/01/2017,09/30/2018,Austin,TX
,H.E.B. Slaughter,93300,5800 W SLAUGHTER LN,78749,0,0,0,1,0,4-star,,Grocery,,Yes,Commercial,Pilot Commercial Rating,2006,,POINT (-97.876627007 30.20264599),1,,10/01/2005,09/30/2006,Austin,TX
,The G,92050,1715 GUADALUPE ST,78701,1,0,0,0,0,1-star,,Residential,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2016,,POINT (-97.74178096 30.280254996),9,79,10/01/2015,09/30/2016,Austin,TX
,Dell Children's Medical Center Third Bed Tower at Mueller,82200,4900 MUELLER BLVD,78723,0,0,0,0,1,5-star,Platinum,Health Care,Mueller Development (PUD),No,Commercial,Commercial Rating 2010,2013,,POINT (-97.706609991 30.303677009),3,,10/01/2012,09/30/2013,Austin,TX
,University of Texas Elementary School,13600,2200 E 6TH ST,78702,0,1,0,0,0,2-star,,School,,Yes,Commercial,Commercial Rating 2010,2014,,POINT (-97.718264022 30.26059302),2,,10/01/2013,09/30/2014,Austin,TX
,Schwab - AUS2,189440,2309 GRACY FARMS LN,78758,1,0,0,0,0,1-star,,Office,North Burnet/Gateway,No,Commercial,COMMERCIAL RATING 2013,2020,,POINT (-97.711489013 30.400062986),5,,10/01/2019,09/30/2020,Austin,TX
,RiverSouth,320000,401 S 1ST ST,78704,0,0,1,0,0,3-star,,Office/ Retail,Riverside PUD,No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.749321991 30.259279995),8,0,10/01/2021,09/30/2022,Austin,TX
,"Google University Park (UP), Level 8",24690,3300 N IH 35 SVRD SB,78705,0,1,0,0,0,2-star,Silver,Office,,Yes,Commercial,Commercial Rating 2013,2015,,POINT (-97.722768037 30.29123202),1,,10/01/2014,09/30/2015,Austin,TX
,Nordstrom,130635,3111 PALM WAY,78758,0,1,0,0,0,2-star,,Office/ Retail/ Restaurant,Domain (PDA),No,Commercial,Commercial Rating 2010,2017,,POINT (-97.72035296 30.402219021),2,,10/01/2016,09/30/2017,Austin,TX
,Post West Austin,365971,4330 BULL CREEK RD,78731,1,0,0,0,0,1-star,,Residential,,Yes,Commercial,Commercial Rating 2007,2010,,POINT (-97.755083962 30.319256997),4,329,10/01/2009,09/30/2010,Austin,TX
,Creative Action,7440,2921 E 17TH ST B,78702,0,0,1,0,0,3-star,,Office/ Other,,Yes,Commercial,Commercial Rating 2010,2017,,POINT (-97.710082027 30.277994983),2,,10/01/2016,09/30/2017,Austin,TX
,AISD Webb Middle School Fine Arts Addition,10989,601 E ST JOHNS AVE,78752,0,1,0,0,0,2-star,,School,,Yes,Commercial,AISD Rating 2007,2010,,POINT (-97.706894976 30.33305998),1,,10/01/2009,09/30/2010,Austin,TX
,Hatchery Buildings D & E,52306,36 Comal St,78702,1,0,0,0,0,1-star,,Office/ Restaurant,0,Yes,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.731428286 30.252613952),2,0,10/01/2020,09/30/2021,Austin,TX
,Starbucks at Mueller,1654,1201 BARBARA JORDAN BLVD 12 UNIT 500,78723,0,0,1,0,0,3-star,Silver,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2009,,POINT (-97.70985999 30.30557002),1,,10/01/2008,09/30/2009,Austin,TX
,Charles Schwab  Austin Corporate Campus Building AUS 3,199099,2309 GRACY FARMS LN,78758,0,1,0,0,0,2-star,,Office,North Burnet/Gateway,No,Commercial,COMMERCIAL RATING 2016,2021,,POINT (-97.711489013 30.400062986),5,0,10/01/2020,09/30/2021,Austin,TX
,TETCO - Store #76,3478,3550 FAR WEST BLVD,78731,1,0,0,0,0,1-star,,Other,,Yes,Commercial,Commercial Rating 2009,2012,,POINT (-97.753381011 30.35397002),1,,10/01/2011,09/30/2012,Austin,TX
,Block 185 Office Tower,863806,601 W 2ND ST,78701,0,0,0,1,0,4-star,,Office/ Retail/ Restaurant,"Downtown (CBD-DMU), Green Water Treatment Plant Redevelopment",No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.750068986 30.265740012),5,30,10/01/2021,09/30/2022,Austin,TX
,Marriott Residence Inn - Austin Domain,88315,11301 BURNET RD 2,78758,1,0,0,0,0,1-star,,Hotel,North Burnet/Gateway,No,Commercial,COMMERCIAL RATING 2013,2018,,POINT (-97.717474027 30.398235019),4,,10/01/2017,09/30/2018,Austin,TX
,Life Time Fitness,110000,7101 S MOPAC EXPY NB,78749,0,0,1,0,0,3-star,,Other,,Yes,Commercial,Commercial Rating 2006,2008,,POINT (-97.748538157 30.353980269),1,,10/01/2007,09/30/2008,Austin,TX
,Cirrus Logic Research Facility,25635,605 W 4TH ST,78701,1,0,0,0,0,1-star,,Office/ Manufacturing,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2016,,POINT (-97.749992962 30.26771198),3,,10/01/2015,09/30/2016,Austin,TX
,Texas Mutual Insurance,250000,2200 ALDRICH ST,78723,0,0,0,1,0,4-star,,Office,Mueller Development (PUD),No,Commercial,COMMERCIAL RATING 2016,2019,,POINT (-97.703814962 30.301164994),4,,10/01/2018,09/30/2019,Austin,TX
,"Austin Children's Shelter, Educational Services Building",15125,sensitive location,78723,0,0,1,0,0,3-star,,School,Mueller Development (PUD),No,Commercial,Commercial Rating 2007,2011,,POINT (-97.6999965 30.2935393),2,,10/01/2010,09/30/2011,Austin,TX
,Shady Lane Offices,52000,1141 SHADY LANE,78721,0,1,0,0,0,2-star,,Residential/ Office,"S.M.A.R.T. Housing, thinkEAST PUD",No,Commercial,COMMERCIAL RATING 2016,2022,,POINT (-97.691156025 30.262589003),35,,10/01/2021,09/30/2022,Austin,TX
,HelioVolt,122400,6301 E STASSNEY LN,78744,0,0,1,0,0,3-star,Silver,Manufacturing,,Yes,Commercial,Commercial Rating 2007,2009,,POINT (-97.718411962 30.202455008),1,,10/01/2008,09/30/2009,Austin,TX
,Palisades West Office Complex,360000,6300 FM 2244,78746,0,0,1,0,0,3-star,,Office,,Yes,Commercial,Commercial Rating 2006,2011,,POINT (-97.83057901 30.296709007),7,,10/01/2010,09/30/2011,Austin,TX
,Mueller Mixed-Use Office Ph1,238515,1900 ALDRICH ST,78723,0,0,1,0,0,3-star,,Office/ Retail,Mueller Development (PUD),No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.705657392 30.29831038),6,,10/01/2022,09/30/2023,Austin,TX
,Yo So Cool at Mueller,1457,1201 BARBARA JORDAN BLVD UNIT 1290,78723,0,0,1,0,0,3-star,,Restaurant,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2010,,POINT (-97.70985999 30.30557002),1,,10/01/2009,09/30/2010,Austin,TX
,Texas Public Policy Foundation,42015,901 CONGRESS AVE,78701,1,0,0,0,0,1-star,,Office,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2017,,POINT (-97.741290032 30.270899995),6,,10/01/2016,09/30/2017,Austin,TX
,Rambler,305869,2513 SETON AVE,78705,1,0,0,0,0,1-star,,Residential/ Office/ Retail,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Commercial,COMMERCIAL RATING 2016,2024,,POINT (-97.743259025 30.290111988),8,202,10/01/2023,09/30/2024,Austin,TX
,The Brown Building,132500,710 COLORADO ST,78701,0,0,0,0,0,pilot,,Residential,,Yes,Commercial,Pilot Commercial Rating,1999,,POINT (-97.743799993 30.27009198),10,90,10/01/1998,09/30/1999,Austin,TX
,Aloft/Element Hotel Downtown Austin,254382,109 E 7TH ST,78701,0,1,0,0,0,2-star,,Retail/ Restaurant/ Hotel,"Downtown (CBD-DMU), Downtown Density Bonus Program (DDBP)",No,Commercial,COMMERCIAL RATING 2013,2018,,POINT (-97.74212202 30.268698991),32,,10/01/2017,09/30/2018,Austin,TX
,The Independent,676210,301 WEST AVE,78701,1,0,0,0,0,1-star,,Residential/ Retail,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2013,2019,,POINT (-97.750987978 30.267944997),58,370,10/01/2018,09/30/2019,Austin,TX
,Chipotle Mexican Grill at Mueller,2200,1201 BARBARA JORDAN BLVD UNIT 1300,78723,0,0,1,0,0,3-star,,Restaurant,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2009,,POINT (-97.70985999 30.30557002),1,,10/01/2008,09/30/2009,Austin,TX
,The Bowie Residences,503260,311 BOWIE ST,78703,0,0,1,0,0,3-star,,Residential/ Office/ Retail/ Other,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2015,,POINT (-97.752987984 30.269150986),37,358,10/01/2014,09/30/2015,Austin,TX
,2010 SOLA Creative Office Building,73237,2010 S LAMAR,78704,1,0,0,0,0,1-star,,Office/ Retail/ Restaurant,,Yes,Commercial,COMMERCIAL RATING 2016,2019,,POINT (-97.768226032 30.249425015),3,,10/01/2018,09/30/2019,Austin,TX
,Mueller Cinema Tenants,24203,1911 ALDRICH ST,78723,0,0,1,0,0,3-star,Silver,Retail/ Restaurant,Mueller Development (PUD),No,Commercial,COMMERCIAL RATING 2013,2019,,POINT (-97.704329024 30.298674018),2,,10/01/2018,09/30/2019,Austin,TX
,Hotel Van Zandt,257252,605 DAVIS ST,78701,1,0,0,0,0,1-star,,Hotel/ Other,Downtown (CBD-DMU),No,Commercial,Commercial Rating 2010,2017,,POINT (-97.739335037 30.259479988),16,,10/01/2016,09/30/2017,Austin,TX
,Central Texas Veterinary Specialty & Emergency Hospital,38532,4434 FRONTIER TRL,78745,0,0,0,0,0,pilot,,Health Care,,Yes,Commercial,Pilot Commercial Rating,2000,,POINT (-97.795773995 30.231430996),,,10/01/1999,09/30/2000,Austin,TX
