Organization,Project Name,Project (sq.ft.),Project Address,Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State
,The Ruckus,68977,2502 NUECES ST,78705,1,0,0,0,0,1-star,,Residential,University Neighborhood Overlay (UNO),No,Commercial,COMMERCIAL RATING 2013,2018,,POINT (-97.743341 30.289622988),7,46,10/01/2017,09/30/2018,Austin,TX
,HCS Salon & Spa at Mueller,1471,1201 BARBARA JORDAN BLVD 13 UNIT 1410,78723,0,1,0,0,0,2-star,,Retail,Mueller Development (PUD),No,Commercial,Commercial Rating 2006,2012,,POINT (-97.70985999 30.30557002),1,,10/01/2011,09/30/2012,Austin,TX
,St. David's North Austin Medical Center Fourth Floor Medical/Surgical Expansion,21214,12221 N MOPAC EXPY SVRD NB,78758,0,1,0,0,0,2-star,,Health Care,North Austin Medical Center PUD,No,Commercial,COMMERCIAL RATING 2016,2023,,POINT (-97.707943084 30.412279184),1,,10/01/2022,09/30/2023,Austin,TX
,21 Rio,229694,2101 RIO GRANDE ST,78705,1,0,0,0,0,1-star,,Residential/ Retail,University Neighborhood Overlay (UNO),No,Commercial,Commercial Rating 2006,2009,,POINT (-97.744741029 30.28428799),20,158,10/01/2008,09/30/2009,Austin,TX
,Dos Salsas Restaurant,18385,11301 BURNET RD 1,78758,1,0,0,0,0,1-star,,Restaurant,North Burnet/Gateway,No,Commercial,COMMERCIAL RATING 2013,2020,,POINT (-97.717474027 30.398235019),2,0,10/01/2019,09/30/2020,Austin,TX
,Hyatt Centric Congress Avenue Austin,180235,721 CONGRESS AVE,78701,0,1,0,0,0,2-star,,Office/ Hotel,Downtown (CBD-DMU),No,Commercial,COMMERCIAL RATING 2013,2023,,POINT (-97.741768974 30.26963898),31,,10/01/2022,09/30/2023,Austin,TX
,Big Brothers Big Sisters,21000,4800 MANOR RD 2,78723,0,0,1,0,0,3-star,,Office,Mueller Development (PUD),No,Commercial,Commercial Rating 2010,2018,,POINT (-97.689950959 30.296338988),2,,10/01/2017,09/30/2018,Austin,TX
,Capstone Mixed-Use,199627,2200 NUECES ST,78705,1,0,0,0,0,1-star,,Residential/ Office/ Worship,University Neighborhood Overlay (UNO),No,Commercial,COMMERCIAL RATING 2016,2019,,POINT (-97.744211963 30.285384008),18,129,10/01/2018,09/30/2019,Austin,TX
,City of Austin Fire Station #4 - Women's Locker Room Addition,238,1000 BLANCO ST,78703,0,0,0,0,0,pilot,,Municipal,,Yes,Commercial,Pilot Commercial Rating,2007,,POINT (-97.754974997 30.276644994),1,,10/01/2006,09/30/2007,Austin,TX
,AISD Blazier Elementary School,82000,8601 VERTEX BLVD,78744,0,1,0,0,0,2-star,,School,,Yes,Commercial,AISD Rating 2006,2008,,POINT (-97.751473038 30.156099019),1,,10/01/2007,09/30/2008,Austin,TX
,Domain 7 Office Building,230320,11501 ALTERRA PKWY,78758,0,0,0,0,0,,Silver,Office,Domain (PDA),No,Commercial,LEED BD+C: Core and Shell v3 - LEED 2009,2015,,POINT (-97.719188965 30.400938015),6,,10/01/2014,09/30/2015,Austin,TX
,Lakeway Regional Medical Center,270510,100 MEDICAL PKWY,78738,0,0,1,0,0,3-star,Silver,Health Care,,Yes,Commercial,Commercial Rating 2009,2014,,POINT (-97.971576032 30.332971006),8,,10/01/2013,09/30/2014,Austin,TX
,2400 Nueces,383770,2400 NUECES ST,78705,0,0,0,1,0,4-star,Gold,Residential/ Retail,S.M.A.R.T. Housing,No,Commercial,Commercial Rating 2009,2014,,POINT (-97.74345097 30.288425004),16,304,10/01/2013,09/30/2014,Austin,TX
,Metric Industrial,9980,9400 METRIC BLVD,78758,1,0,0,0,0,1-star,,Office/ Warehouse,North Burnet/Gateway,No,Commercial,COMMERCIAL RATING 2016,2020,,POINT (-97.720214994 30.375708989),1,0,10/01/2019,09/30/2020,Austin,TX
