Organization,Project Name,Project (sq.ft.),Project Address,Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State,Boundaries: Austin MSA Census Tracts 2010,"Boundaries: Zip Code Tabulation Areas, 2017",Boundaries: City of Austin Council Districts,Cartographic Boundary File - Census Tracts,Cartographic Boundary File - County,"Boundaries: Zip Code Tabulation Areas, 2017 2",BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes
,The Vaughan,384534,12601 INNOVAR CIR,78653,1,0,0,0,0,1-star,,Residential,Pioneer Crossing (PUD),No,Multifamily,MF-Rating 2016,2023,,POINT (-97.626032185 30.380026329),4,312,10/01/2022,09/30/2023,Manor,TX,124,37,9,226,6,50,8,,540,5
,William Cannon Apartments,312189,2112 E WILLIAM CANNON DR,78744,1,0,0,0,0,1-star,,Residential/ Other,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2010,2016,,POINT (-97.760985996 30.189378988),3,252,10/01/2015,09/30/2016,Austin,TX,200,8,8,77,6,25,4,,484,20
,Regents West at 26,167615,900 W 26TH ST,78705,1,0,0,0,0,1-star,,Residential/ Office/ Other,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,MF-Rating 2010,2014,,POINT (-97.746434006 30.29111899),6,139,10/01/2013,09/30/2014,Austin,TX,16,44,5,189,6,43,10,44,217,50
,Chicon Corridor,32000,1301 CHICON ST,78702,1,0,0,0,0,1-star,,Residential/ Other,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2013,2018,,POINT (-97.719952975 30.275091995),3,28,10/01/2017,09/30/2018,Austin,TX,21,26,9,332,6,7,8,23,309,1
,Canopy at Westgate Grove,91520,8601 WEST GATE BLVD,78745,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2024,,POINT (-97.83098195 30.194337786),2,88,10/01/2023,09/30/2024,Austin,TX,55,28,7,264,6,5,1,,62,23
,Colorado Creek Apartments,278135,11700 Dionda Ln,78617,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2013,2021,,POINT (-97.634286295 30.205101756),3,240,10/01/2020,09/30/2021,Del Valle,TX,213,42,8,130,6,45,4,,248,45
,District at SoCo,244844,501 E OLTORF ST,78704,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2010,2012,,POINT (-97.751292995 30.236655017),4,215,10/01/2011,09/30/2012,Austin,TX,182,24,5,111,6,9,10,37,217,75
,Lakeline Station,135000,13635 RUTLEDGE SPUR,78717,0,0,0,0,1,5-star,,Residential/ Office/ Other,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2013,2017,,POINT (-97.780352634 30.476258341),4,128,10/01/2016,09/30/2017,Austin,TX,261,38,10,303,2,49,6,,540,47
,Blunn Creek Apartments,285139,701 WOODWARD ST,78704,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2003,,POINT (-97.752081984 30.225415011),3,280,10/01/2002,09/30/2003,Austin,TX,182,24,2,111,6,9,3,37,217,75
,Pathways at Chalmers Court South,76048,1638 E 2ND ST,78702,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2020,,POINT (-97.726550036 30.259379991),4,86,10/01/2019,09/30/2020,Austin,TX,24,26,2,290,6,7,3,35,309,1
,FOURTH& Condos,135971,1800 E 4TH ST,78702,0,0,0,0,1,5-star,,Residential/ Retail,,Yes,Multifamily,MF-Rating 2013,2018,,POINT (-97.723734974 30.260478985),3,99,10/01/2017,09/30/2018,Manchaca,TX,24,26,2,290,6,7,3,35,309,1
,Homestead,149004,3226 W SLAUGHTER LN,78748,0,0,0,1,0,4-star,Gold,Residential/ Office/ Other,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2010,2016,,POINT (-97.844075969 30.183386011),4,140,10/01/2015,09/30/2016,Austin,TX,64,50,7,2,6,37,1,,62,22
,Aldrich 51,172000,2604 ALDRICH ST,78723,0,1,0,0,0,2-star,Silver,Residential/ Retail/ Other,"S.M.A.R.T. Housing, Mueller LEED only",No,Multifamily,MF-Rating 2013,2018,,POINT (-97.701806993 30.304208002),4,240,10/01/2017,09/30/2018,Austin,TX,10,14,5,94,6,19,10,38,309,33
,908 Nueces,35464,908 NUECES ST,78701,1,0,0,0,0,1-star,,Residential,Downtown (CBD-DMU),No,Multifamily,MF-Rating 2013,2018,,POINT (-97.747356015 30.273147016),4,32,10/01/2017,09/30/2018,Austin,TX,26,35,5,93,6,52,10,60,217,24
,The Kenzie,391773,3201 ESPERANZA XING,78758,0,1,0,0,0,2-star,,Residential,Domain (PDA),No,Multifamily,MF-Rating 2010,2015,,POINT (-97.723602037 30.399000999),6,279,10/01/2014,09/30/2015,Austin,TX,131,11,6,139,6,22,7,45,217,18
,Los Portales de Lena Guerrero Apartments,103872,5225 JAIN LN,78721,0,1,0,0,0,2-star,,Residential,"S.M.A.R.T. Housing, thinkEAST PUD",No,Multifamily,MF-Rating 2016,2022,,POINT (-97.688655033 30.262714019),4,98,10/01/2021,09/30/2022,Austin,TX,169,29,2,286,6,4,3,31,309,62
,Riverside Meadows,353686,1601 MONTOPOLIS DR,78741,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2003,,POINT (-97.701411032 30.227501979),3,240,10/01/2002,09/30/2003,Austin,TX,184,25,2,276,6,8,3,46,114,55
,Harris Branch Senior Apartments,231535,12433 DESSAU RD,78754,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2013,2017,,POINT (-97.646759012 30.389295006),4,216,10/01/2016,09/30/2017,Austin,TX,124,37,9,226,6,50,8,,540,77
,The Grand at the Domain,222897,11009 ALTERRA PWKY,78758,0,1,0,0,0,2-star,,Residential,Domain (PDA),No,Multifamily,MF-Rating 2016,2020,,POINT (-97.721833036 30.395416017),6,181,10/01/2019,09/30/2020,Austin,TX,131,11,6,139,6,22,7,45,217,18
,The Monarch,494931,801 W 5TH ST,78703,0,0,1,0,0,3-star,,Residential,Downtown (CBD-DMU),No,Multifamily,Pre 2007 Rating,2009,,POINT (-97.751541016 30.269051995),29,305,10/01/2008,09/30/2009,Austin,TX,26,7,5,93,6,26,10,60,217,69
,Heritage Pointe,203000,1950 WEBBERVILLE RD,78721,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2005,,POINT (-97.672418029 30.28473001),3,240,10/01/2004,09/30/2005,Austin,TX,167,29,9,210,6,4,8,34,309,62
,The Paddock at Norwood,297755,1044 NORWOOD PARK BLVD,78753,1,0,0,0,0,1-star,,Residential/ Office,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2010,2015,,POINT (-97.691253004 30.336293006),3,228,10/01/2014,09/30/2015,Austin,TX,105,40,1,115,6,47,9,17,63,78
,Aria Grand Apartments,82546,1800 S IH 35 SVRD SB,78704,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2020,,POINT (-97.738105998 30.240541999),6,70,10/01/2019,09/30/2020,Austin,TX,34,24,5,269,6,9,10,49,217,75
,Villas on Guadalupe,148187,2810 HEMPHILL PARK,78705,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2004,,POINT (-97.74130403 30.293801995),4,150,10/01/2003,09/30/2004,Austin,TX,15,44,5,5,6,43,10,19,217,50
,Broadstone at the Lake,360124,422 W RIVERSIDE DR,78704,0,1,0,0,0,2-star,,Residential/ Retail,Broadstone at the Lake PUD,No,Multifamily,MF-Rating 2010,2017,,POINT (-97.748687983 30.259874021),6,207,10/01/2016,09/30/2017,Austin,TX,30,24,5,271,6,9,10,42,217,75
,Texan North Campus,45390,5117 N LAMAR BLVD,78751,1,0,0,0,0,1-star,,Residential/ Retail/ Other,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2010,2011,,POINT (-97.730109998 30.319220997),4,23,10/01/2010,09/30/2011,Austin,TX,9,27,5,62,6,6,10,68,217,65
,Nexus Apartments at Goodnight Ranch,262842,2010 E SLAUGHTER LN,78747,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2023,,POINT (-97.764234989 30.15049601),3,294,10/01/2022,09/30/2023,Austin,TX,206,51,8,227,6,36,4,,484,4
,Quarry Oaks Garden Homes,20000,1205 NORWALK LN,78703,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2001,,POINT (-97.772533995 30.28753602),2,8,10/01/2000,09/30/2001,Austin,TX,40,7,3,187,6,26,5,6,126,69
,Bridge at Cameron,356110,9201 CAMERON RD,78754,1,0,0,0,0,1-star,,Residential/ Office/ Other,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2013,2021,,POINT (-97.675414978 30.348056001),4,263,10/01/2020,09/30/2021,Austin,TX,119,37,9,145,6,50,8,,217,77
,Harris Ridge Apartments,330000,1501 E HOWARD LN,78753,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2013,2019,,POINT (-97.642408972 30.404170999),3,324,10/01/2018,09/30/2019,Austin,TX,121,40,6,235,6,47,7,,540,77
,Kappa Alpha Order House,14545,2515 LEON ST,78705,0,0,1,0,0,3-star,,Residential,0,Yes,Multifamily,Pre 2007 Rating,2007,,POINT (-97.748772976 30.290443995),2,21,10/01/2006,09/30/2007,Austin,TX,16,44,5,189,6,43,10,44,217,50
,Camden Cedar Hills,179560,4100 W SLAUGHTER LN,78749,0,1,0,0,0,2-star,,Residential,Dev Agreement,No,Multifamily,Pre 2007 Rating,2009,,POINT (-97.855761013 30.190305021),3,208,10/01/2008,09/30/2009,Austin,TX,60,49,4,263,6,38,2,,62,53
,The Astor Series,91500,4501 JACKSON AVE,78731,0,1,0,0,0,2-star,,Residential,"S.M.A.R.T. Housing, The Grove (PUD)",No,Multifamily,MF-Rating 2016,2022,,POINT (-97.752264039 30.314743007),6,72,10/01/2021,09/30/2022,Austin,TX,1,16,3,124,6,17,5,74,217,66
,Cielo,345886,2717 S LAMAR BLVD,78704,0,1,0,0,0,2-star,,Residential/ Office/ Retail,Restrictive Covenant,No,Multifamily,MF-Rating 2010,2015,,POINT (-97.780548016 30.243390002),4,327,10/01/2014,09/30/2015,Austin,TX,161,24,7,333,6,9,1,22,441,75
,Texan at 26th,85943,1009 W 26TH ST,78705,1,0,0,0,0,1-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,MF-Rating 2010,2014,,POINT (-97.748262015 30.290562012),6,55,10/01/2013,09/30/2014,Austin,TX,16,44,5,189,6,43,10,44,217,50
,Goodnight Commons,403481,2022 E SLAUGHTER LN,78748,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2020,,POINT (-97.76283102 30.153779998),3,304,10/01/2019,09/30/2020,Austin,TX,206,51,8,227,6,36,4,,484,4
,The Heights on Parmer - Phase II,106911,1500 E PARMER LN,78753,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2013,2019,,POINT (-97.650980976 30.391032994),3,80,10/01/2018,09/30/2019,Austin,TX,121,40,6,235,6,47,7,,540,78
,Creekview Apartment Homes,307613,5001 CRAINWAY DR,78724,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2021,,POINT (-97.658009034 30.318702995),3,264,10/01/2020,09/30/2021,Austin,TX,172,41,9,209,6,46,8,,309,8
,Villas of Cordoba,171198,5901 E STASSNEY LN,78744,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2008,,POINT (-97.730247964 30.190728013),3,156,10/01/2007,09/30/2008,Austin,TX,211,8,8,308,6,25,4,61,484,20
,Circle West Campus,257735,2505 LONGVIEW ST,78705,1,0,0,0,0,1-star,,Residential/ Office/ Other,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,MF-Rating 2010,2013,,POINT (-97.750293034 30.290182019),6,167,10/01/2012,09/30/2013,Austin,TX,16,44,5,189,6,43,10,44,217,50
,Bridge at Granada,222752,414 E WONSLEY DR,78753,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2021,,POINT (-97.699403985 30.344770001),3,258,10/01/2020,09/30/2021,Austin,TX,100,40,1,40,6,47,9,54,63,78
,Rosemont at Williamson Creek,167425,4509 E SAINT ELMO RD,78744,0,0,1,0,0,3-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2005,,POINT (-97.74014498 30.203995979),3,163,10/01/2004,09/30/2005,Austin,TX,199,8,8,273,6,25,4,39,484,20
,5707 Manor,13452,5707 MANOR RD,78723,0,0,0,1,0,4-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2009,2013,,POINT (-97.680416963 30.305035003),2,24,10/01/2012,09/30/2013,Austin,TX,165,14,9,211,6,19,8,26,309,33
,Talavera Lofts,84633,413 NAVASOTA ST,78702,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2022,,POINT (-97.728869979 30.262604007),4,92,10/01/2021,09/30/2022,Austin,TX,24,26,2,290,6,7,3,35,309,1
,Woodway Village,182474,4600 NUCKOLS CROSSING RD,78744,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2004,,POINT (-97.735195969 30.199710019),3,160,10/01/2003,09/30/2004,Austin,TX,199,8,8,273,6,25,4,39,484,20
,Park at Estancia,373000,820 CAMINO VAQUERO PKWY,78748,0,1,0,0,0,2-star,,Residential,Estancia Hill Country PUD,No,Multifamily,MF-Rating 2016,2020,,POINT (-97.804112983 30.124988998),3,320,10/01/2019,09/30/2020,Austin,TX,194,46,7,274,6,41,1,,484,14
,University Park Apartments Phase 2,268565,3320 HARMON AVE,78705,0,1,0,0,0,2-star,,Residential/ Office,East Avenue (PUD),No,Multifamily,MF-Rating 2010,2016,,POINT (-97.723636989 30.29213802),5,274,10/01/2015,09/30/2016,Austin,TX,12,44,5,341,6,43,10,50,217,50
,Greenway Lofts,39986,1320 ROBERT BROWNING ST,78723,0,0,1,0,0,3-star,,Residential,Mueller Development (PUD),No,Multifamily,MF-Rating Mixed Use 2008,2011,,POINT (-97.708512013 30.301593016),4,36,10/01/2010,09/30/2011,Austin,TX,10,14,5,94,6,19,10,38,309,33
,Southwest Trails,180576,8405 OLD BEE CAVES RD,78735,0,0,1,0,0,3-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2002,,POINT (-97.888920995 30.250135004),3,160,10/01/2001,09/30/2002,Austin,TX,147,1,4,218,6,32,2,73,295,49
,Gables Central Park,0,800 W 38th St,78705,0,0,0,0,0,pilot,,Residential,,Yes,Multifamily,Prior to Rating System,1997,,POINT (-97.739417012 30.305936015),3,273,10/01/1996,09/30/1997,Austin,TX,3,44,5,7,6,43,10,24,217,65
,Noble 2500,109742,2500 SAN GABRIEL ST,78705,1,0,0,0,0,1-star,,Residential,University Neighborhood Overlay (UNO),No,Multifamily,MF-Rating 2016,2023,,POINT (-97.747849961 30.289698006),7,118,10/01/2022,09/30/2023,Austin,TX,16,44,5,189,6,43,10,44,217,50
,Zilker Studios,58531,1508 S LAMAR BLVD,78704,0,0,0,1,0,4-star,,Residential/ Office,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2023,,POINT (-97.765072006 30.252143014),7,110,10/01/2022,09/30/2023,Austin,TX,28,24,7,288,6,9,1,2,217,75
,Residences at Domain,411799,11400 DOMAIN DR,78758,0,0,1,0,0,3-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2007,,POINT (-97.725291996 30.400632997),5,369,10/01/2006,09/30/2007,Austin,TX,131,11,6,139,6,22,7,45,217,18
,The Beverly Austin,147936,901 RED RIVER ST,78701,0,1,0,0,0,2-star,,Residential,Downtown (CBD-DMU),No,Multifamily,Pre 2007 Rating,2008,,POINT (-97.735750013 30.269625988),4,120,10/01/2007,09/30/2008,Austin,TX,26,35,5,93,6,52,10,60,217,24
,La Madrid Apartments,118132,11320 MENCHACA RD,78748,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2013,2019,,POINT (-97.833919031 30.15570398),3,95,10/01/2018,09/30/2019,Austin,TX,87,50,7,168,6,37,1,,45,22
,Eleven,299082,811 E 11TH ST,78702,1,0,0,0,0,1-star,,Residential,0,Yes,Multifamily,MF-Rating 2010,2014,,POINT (-97.732107992 30.269497996),4,257,10/01/2013,09/30/2014,Austin,TX,23,26,9,291,6,7,8,56,309,1
,Crest at Pearl,292150,706 W MARTIN LUTHER KING JUNIOR BLVD,78701,1,0,0,0,0,1-star,,Residential/ Office,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,MF-Rating 2010,2015,,POINT (-97.74620803 30.283323988),6,141,10/01/2014,09/30/2015,Austin,TX,17,44,5,48,6,43,10,44,217,50
,Bridge at Loyola,212448,6400 LOYOLA LN,78724,1,0,0,0,0,1-star,,Residential/ Retail,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2023,,POINT (-97.648276974 30.302004987),4,204,10/01/2022,09/30/2023,Austin,TX,173,41,9,208,6,46,8,,309,8
,South Park Apartments,251647,9401 S 1ST ST,78748,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2008,,POINT (-97.800617981 30.169155006),3,192,10/01/2007,09/30/2008,Austin,TX,201,50,7,228,6,37,1,,329,22
,Hatchery Building 5 - Micro Units/Hotel conversion,14670,49 Navasota St,78702,1,0,0,0,0,1-star,,Residential,0,Yes,Multifamily,MF-Rating 2016,2021,,POINT (-97.733151958 30.253407005),2,30,10/01/2020,09/30/2021,Austin,TX,25,26,2,47,6,7,3,35,309,1
,Elloras,14159,908 W 21ST ST,78705,1,0,0,0,0,1-star,,Residential,"University Neighborhood Overlay (UNO), S.M.A.R.T. Housing",No,Multifamily,MF-Rating Mixed Use 2008,2013,,POINT (-97.747478978 30.284973001),4,12,10/01/2012,09/30/2013,Austin,TX,17,44,5,48,6,43,10,44,217,50
