Organization,Project Name,Project (sq.ft.),Project Address,Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State,Boundaries: Austin MSA Census Tracts 2010,"Boundaries: Zip Code Tabulation Areas, 2017",Boundaries: City of Austin Council Districts,Cartographic Boundary File - Census Tracts,Cartographic Boundary File - County,"Boundaries: Zip Code Tabulation Areas, 2017 2",BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes
,The Weaver,268417,1401 ART DILLY DR,78702,1,0,0,0,0,1-star,,Residential/ Office/ Retail/ Restaurant,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2021,,POINT (-97.733151958 30.253407005),5,250,10/01/2020,09/30/2021,Austin,TX,25,26,2,47,6,7,3,35,309,1
,Manor House,6865,5907 MANOR RD,78723,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2003,,POINT (-97.679156995 30.306785018),1,12,10/01/2002,09/30/2003,Austin,TX,165,14,9,211,6,19,8,26,309,33
,The Metropolis,0,2200 South Pleasant Valley Road,78741,0,0,0,0,0,pilot,,Residential,,Yes,Multifamily,Prior to Rating System,1999,,POINT (-97.72603698 30.231408994),2,308,10/01/1998,09/30/1999,Austin,TX,188,25,2,205,6,8,3,64,309,55
,The Nightingale at Goodnight Ranch,223226,5900 CHARLES MERLE DR,78747,1,0,0,0,0,1-star,,Residential/ Other,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2020,,POINT (-97.754343002 30.157094998),3,174,10/01/2019,09/30/2020,Austin,TX,206,51,8,227,6,36,4,,484,4
,Domain W2/W3 Block,107784,3211 PALM WAY,78758,0,1,0,0,0,2-star,,Residential/ Retail,Domain (PDA),No,Multifamily,MF-Rating 2013,2017,,POINT (-97.723085041 30.402425006),5,94,10/01/2016,09/30/2017,Austin,TX,131,11,6,139,6,22,7,45,217,18
,The Willows,27606,1332 LAMAR SQUARE DR,78704,0,0,1,0,0,3-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating Mixed Use 2008,2011,,POINT (-97.765219024 30.254332996),4,64,10/01/2010,09/30/2011,Austin,TX,28,24,7,288,6,9,1,2,217,75
,Primrose of Shadow Creek,144656,1026 CLAYTON LN,78723,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2002,,POINT (-97.704420973 30.319836019),4,176,10/01/2001,09/30/2002,Austin,TX,163,14,9,212,6,19,8,84,309,33
,Shadow Brook Apartments,222068,811 W SLAUGHTER LN,78748,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2007,,POINT (-97.804745984 30.173707008),3,248,10/01/2006,09/30/2007,Austin,TX,201,50,7,228,6,37,1,,329,22
,Pathways at Chalmers Courts East,192872,1700 E 3RD ST,78702,0,0,1,0,0,3-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2022,,POINT (-97.725576981 30.259723985),5,156,10/01/2021,09/30/2022,Austin,TX,24,26,2,290,6,7,3,35,309,1
,Sabina Apartments,340325,3400 HARMON AVE,78705,0,0,1,0,0,3-star,,Residential,East Avenue (PUD),No,Multifamily,MF-Rating 2010,2014,,POINT (-97.722748005 30.292978012),5,302,10/01/2013,09/30/2014,Austin,TX,12,44,5,341,6,43,10,50,217,50
,Korina at the Grove,458800,4424 JACKSON AVE,78731,0,1,0,0,0,2-star,,Residential/ Retail,The Grove (PUD),No,Multifamily,MF-Rating 2016,2021,,POINT (-97.752950014 30.31754998),5,370,10/01/2020,09/30/2021,Austin,TX,1,16,3,124,6,17,5,74,217,66
,The Pedernales Lofts,84694,2401 E 6TH ST,78702,0,0,0,0,1,5-star,,Residential/ Office,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2005,,POINT (-97.716173994 30.25923599),3,105,10/01/2004,09/30/2005,Austin,TX,24,26,2,290,6,7,3,66,309,1
,Urban Oaks,224990,6725 CIRCLE S RD,78745,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2013,2018,,POINT (-97.776234019 30.189564983),3,194,10/01/2017,09/30/2018,Austin,TX,202,28,8,260,6,5,4,,372,23
,Westerly 360,179316,2500 WALSH TARLTON LN,78746,1,0,0,0,0,1-star,,Residential/ Office/ Other,,Yes,Multifamily,MF-Rating 2013,2019,,POINT (-97.811400042 30.260338001),4,148,10/01/2018,09/30/2019,Austin,TX,148,23,4,105,6,10,2,,126,29
,St. James Apartments,8686,5514 ROOSEVELT AVE,78756,1,0,0,0,0,1-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2010,2014,,POINT (-97.732984991 30.326935994),3,9,10/01/2013,09/30/2014,Austin,TX,5,21,6,104,6,12,7,25,217,7
,3Waller,156425,710 E 3 ST,78701,1,0,0,0,0,1-star,,Residential/ Retail,Downtown (CBD-DMU),No,Multifamily,MF-Rating 2016,2022,,POINT (-97.736417967 30.26371201),5,259,10/01/2021,09/30/2022,Austin,TX,26,35,5,93,6,52,10,60,502,24
,Oak Springs Villas,38155,3001 OAK SPRINGS DR,78702,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2004,,POINT (-97.701349006 30.272751013),2,56,10/01/2003,09/30/2004,Austin,TX,19,26,2,293,6,7,3,29,309,1
,AMLI at Lantana Hills Apartments,451790,7601 RIALTO BLVD,78735,0,1,0,0,0,2-star,,Residential,0,Yes,Multifamily,Pre 2007 Rating,2002,,POINT (-97.872657002 30.25293699),3,403,10/01/2001,09/30/2002,Austin,TX,147,1,4,218,6,32,2,73,295,49
,East Village Lofts,13879,1200 E 11TH ST,78702,0,0,1,0,0,3-star,,Residential/ Office,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2010,,POINT (-97.727544968 30.268962979),4,15,10/01/2009,09/30/2010,Austin,TX,22,26,9,89,6,7,8,56,309,1
,The Saint Mary,308755,7500 W SLAUGHTER LN,78749,1,0,0,0,0,1-star,,Residential/ Other,Circle C Restrictive Covenant,No,Multifamily,MF-Rating 2013,2020,,POINT (-97.892426978 30.217581997),2,240,10/01/2019,09/30/2020,Austin,TX,58,49,4,181,6,38,2,,531,53
,AMLI on 2nd,317000,421 W 3RD ST,78701,0,0,0,1,0,4-star,,Residential/ Office,Downtown (CBD-DMU),No,Multifamily,Pre 2007 Rating,2008,,POINT (-97.748045008 30.26591599),17,231,10/01/2007,09/30/2008,Austin,TX,26,35,5,93,6,52,10,60,217,24
,The Boulevard,122884,1201 GROVE BLVD,78741,0,0,1,0,0,3-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2006,,POINT (-97.704005985 30.234110984),2,120,10/01/2005,09/30/2006,Austin,TX,190,25,2,78,6,8,3,46,365,55
,Fairfield South Lamar,233903,1515 S LAMAR BLVD,78704,0,1,0,0,0,2-star,,Residential,,Yes,Multifamily,MF-Rating 2016,2024,,POINT (-97.764393994 30.251560011),5,328,10/01/2023,09/30/2024,Austin,TX,28,24,7,288,6,9,1,2,217,75
,South Shore Apartments - Phase 1B,228197,1330 SHORE DISTRICT DR,78741,0,1,0,0,0,2-star,,Residential/ Retail/ Other,South Shore (PUD),No,Multifamily,MF-Rating 2010,2015,,POINT (-97.727734986 30.244240011),5,162,10/01/2014,09/30/2015,Austin,TX,180,25,2,327,6,8,3,64,309,55
,Lucero Apartment Homes,244838,2301 DURWOOD ST,78704,1,0,0,0,0,1-star,,Residential/ Other,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2010,2016,,POINT (-97.756748021 30.242051999),4,173,10/01/2015,09/30/2016,Austin,TX,30,24,5,271,6,9,10,42,217,75
,Cambrian East Riverside,67020,1806 CLUBVIEW AVE,78741,0,0,1,0,0,3-star,,Residential/ Retail,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2022,,POINT (-97.706586019 30.227415017),4,65,10/01/2021,09/30/2022,Austin,TX,190,25,2,78,6,8,3,46,365,55
,Santora Villas,230000,1805 FRONTIER VALLEY DR,78741,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2009,,POINT (-97.696359007 30.223111999),3,192,10/01/2008,09/30/2009,Austin,TX,184,25,2,276,6,8,3,46,114,55
,Villages at Fiskville,194658,10127 MIDDLE FISKVILLE RD,78753,1,0,0,0,0,1-star,,Residential/ Office/ Other,S.M.A.R.T. Housing,No,Multifamily,MF-Rating 2016,2019,,POINT (-97.681221961 30.36417),3,172,10/01/2018,09/30/2019,Austin,TX,118,40,1,140,6,47,9,87,217,78
,Vintage West Campus,116870,904 W 22ND HALF ST,78705,1,0,0,0,0,1-star,,Residential,University Neighborhood Overlay (UNO),No,Multifamily,MF-Rating Mixed Use 2008,2009,,POINT (-97.747049992 30.28561099),5,62,10/01/2008,09/30/2009,Austin,TX,17,44,5,48,6,43,10,44,217,50
,SOCO Apartments,108952,6300 S CONGRESS AVE,78745,0,1,0,0,0,2-star,,Residential,S.M.A.R.T. Housing,No,Multifamily,Pre 2007 Rating,2004,,POINT (-97.777460039 30.198509018),2,122,10/01/2003,09/30/2004,Austin,TX,192,28,8,134,6,5,4,1,373,23
