Organization,Project (sq.ft.),Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State,
David Weekley Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2006,,POINT (-97.645925012 30.401132014),,1,10/1/05,9/30/06,Austin,TX,
Trinity Company,,78752,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.696176031 30.336108981),,1,10/1/99,9/30/00,Austin,TX,
Hammonds Homes,,78759,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2003,,POINT (-97.77602204 30.403367006),,1,10/1/02,9/30/03,Austin,TX,
MileStone Community Builders,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2017,,POINT (-97.724353977 30.164709999),,1,10/1/16,9/30/17,Austin,TX,
Stewardship,,,,,,,,,,,,,,,,,,,,,,,,
Fortunate Foundations,,78702,0,0,0,1,0,4-star,,Residential,,,Single Family,2016,2021,,POINT (-97.704133977 30.272832988),,1,10/1/20,9/30/21,Austin,TX,
GFO Home,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2021,,POINT (-97.55668599 30.295618982),,1,10/1/20,9/30/21,Manor,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,0,2015,,POINT (-97.767976 30.143876989),,1,10/1/14,9/30/15,Austin,TX,
Meritage Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2010,,POINT (-97.701564002 30.290440014),,1,10/1/09,9/30/10,Austin,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.87332504 30.208567008),,1,10/1/98,9/30/99,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2018,,POINT (-97.699023028 30.299853981),,1,10/1/17,9/30/18,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2018,,POINT (-97.698002028 30.299438993),,1,10/1/17,9/30/18,Austin,TX,
M/I Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.759472978 30.155336014),,1,10/1/19,9/30/20,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2015,,POINT (-97.700602011 30.300237998),,1,10/1/14,9/30/15,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2018,,POINT (-97.698729996 30.300227981),,1,10/1/17,9/30/18,Austin,TX,
David Weekley Homes,,78727,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2004,,POINT (-97.691802018 30.430880981),,1,10/1/03,9/30/04,Austin,TX,
D.R. Horton,,78745,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.819364023 30.190441017),,1,10/1/04,9/30/05,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2014,,POINT (-97.747216959 30.149572995),,1,10/1/13,9/30/14,Austin,TX,
D.R. Horton,,78748,1,0,0,0,0,1-star,,Residential,,,Single Family,2008.2,2012,,POINT (-97.836630248 30.19243417),,1,10/1/11,9/30/12,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,0,2014,,POINT (-97.617742036 30.348238014),,1,10/1/13,9/30/14,Austin,TX,
Riverside Homes LLC,,78704,0,0,0,1,0,4-star,,Residential,,,Single Family,2010.1,2014,,POINT (-97.772371973 30.249828017),,1,10/1/13,9/30/14,Austin,TX,
D.R. Horton,,78752,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2015,,POINT (-97.717419964 30.344081009),,1,10/1/14,9/30/15,Austin,TX,
PSW Homes,,78723,0,0,0,1,0,4-star,,Residential,,,Single Family,2013,2019,,POINT (-97.695605977 30.285099987),,1,10/1/18,9/30/19,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2011,,POINT (-97.765825036 30.138907987),,1,10/1/10,9/30/11,Austin,TX,
Reytex Homes,,,,,,,,,,,,,,,,,,,,,,,,
Streetman Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2020,,POINT (-97.698881038 30.296239997),,1,10/1/19,9/30/20,Austin,TX,
MS 2011 General Contractors,,,,,,,,,,,,,,,,,,,,,,,,
Lennar,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2017,,POINT (-97.80945301 30.125953001),,1,10/1/16,9/30/17,Austin,TX,
Lennar,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2019,,POINT (-97.808253978 30.125822998),,1,10/1/18,9/30/19,Austin,TX,
Centex Homes,,78727,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.626857021 30.168623007),,1,10/1/04,9/30/05,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2014,,POINT (-97.701407009 30.299320012),,1,10/1/13,9/30/14,Austin,TX,
Wilshire Homes,,78729,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1997,,POINT (-97.762669082 30.442215326),,1,10/1/96,9/30/97,Austin,TX,
Antenora Architects,,78704,0,0,1,0,0,3-star,,Residential,,,Single Family,7.2,2007,,POINT (-97.76884403 30.255362),,1,10/1/06,9/30/07,Austin,TX,
Scott Felder Homes,,78729,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2017,,POINT (-97.789062438 30.485752523),,1,10/1/16,9/30/17,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2006,,POINT (-97.743498999 30.159767987),,1,10/1/05,9/30/06,Austin,TX,
Austin Habitat for Humanity,,78724,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2013,,POINT (-97.647935998 30.29468901),,1,10/1/12,9/30/13,Austin,TX,
Taylor Morrison,,78704,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.719272029 30.14703399),,1,10/1/20,9/30/21,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2007,,POINT (-97.694487999 30.19970499),,1,10/1/06,9/30/07,Austin,TX,
Lennar,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2018,,POINT (-97.808614987 30.123114009),,1,10/1/17,9/30/18,Austin,TX,
Affordable Housing Construction,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.731363009 30.223452011),,1,10/1/03,9/30/04,Austin,TX,
Clark Wilson Homes,,78746,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1997,,POINT (-97.921822983 30.310834986),,1,10/1/96,9/30/97,Austin,TX,
David Weekley Homes,,78727,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2004,,POINT (-97.691214028 30.431432007),,1,10/1/03,9/30/04,Austin,TX,
Urbana Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.760218968 30.152916997),,1,10/1/19,9/30/20,Austin,TX,
Lennar,,78747,0,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2011,,POINT (-97.768160988 30.137776011),,1,10/1/10,9/30/11,Austin,TX,
Cherokee Contracting,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.758462959 30.181860002),,1,10/1/99,9/30/00,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,0,2014,,POINT (-97.620091987 30.345527013),,1,10/1/13,9/30/14,Austin,TX,
Prominence Homes,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2021,,POINT (-97.655617007 30.374034997),,1,10/1/20,9/30/21,Austin,TX,
Main Street Homes,,78748,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.828250014 30.152067994),,1,10/1/04,9/30/05,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2014,,POINT (-97.614941978 30.346383015),,1,10/1/13,9/30/14,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2016,,POINT (-97.619023965 30.348193003),,1,10/1/15,9/30/16,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2016,,POINT (-97.620508986 30.346175018),,1,10/1/15,9/30/16,Austin,TX,
Clark Wilson Homes,,78733,1,0,0,0,0,1-star,,Residential,,,Single Family,6,2000,,POINT (-97.91626796 30.311884987),,1,10/1/99,9/30/00,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2014,,POINT (-97.764343032 30.140026007),,1,10/1/13,9/30/14,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2006,,POINT (-97.73237504 30.200249981),,1,10/1/05,9/30/06,Austin,TX,
Austin Habitat for Humanity,,78721,0,1,0,0,0,2-star,,Residential,,,Single Family,II,1997,,POINT (-97.692279032 30.281920983),,1,10/1/96,9/30/97,Austin,TX,
Streetman Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2015,,POINT (-97.702261041 30.298983017),,1,10/1/14,9/30/15,Austin,TX,
Dream Finders Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.721250997 30.147151002),,1,10/1/19,9/30/20,Austin,TX,
Centex Homes,,78741,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2007,,POINT (-97.691934033 30.222592992),,1,10/1/06,9/30/07,Austin,TX,
Stuart Sampley Architect,,78704,0,0,0,0,0,5-star,,Residential,,,Single Family,2008.2,2011,,POINT (-97.756372009 30.24941701),,1,10/1/10,9/30/11,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2008,,POINT (-97.747861025 30.153398998),,1,10/1/07,9/30/08,Austin,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.88211598 30.210517016),,1,10/1/98,9/30/99,Austin,TX,
D.R. Horton,,78745,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.817583037 30.190825998),,1,10/1/04,9/30/05,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2014,,POINT (-97.614616006 30.345950006),,1,10/1/13,9/30/14,Austin,TX,
Wilshire Homes,,78749,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1996,,POINT (-97.86735 30.229739989),,1,10/1/95,9/30/96,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,8.1,2008,,POINT (-97.705941032 30.292969002),,1,10/1/07,9/30/08,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2020,,POINT (-97.716681016 30.154553019),,1,10/1/19,9/30/20,Austin,TX,
Cheldan Homes,,78617,0,0,1,0,0,3-star,,Residential,,,Single Family,7.2,2009,,POINT (-97.616508975 30.179293002),,1,10/1/08,9/30/09,Del Valle,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.876744018 30.206176993),,1,10/1/98,9/30/99,Austin,TX,
D.R. Horton,,78745,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2006,,POINT (-97.815786962 30.188551988),,1,10/1/05,9/30/06,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2007,,POINT (-97.770614958 30.140049015),,1,10/1/06,9/30/07,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2007,,POINT (-97.695433981 30.195770986),,1,10/1/06,9/30/07,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2009,,POINT (-97.737757982 30.147264996),,1,10/1/08,9/30/09,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2019,,POINT (-97.698914985 30.300222994),,1,10/1/18,9/30/19,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2017,,POINT (-97.698286007 30.294560013),,1,10/1/16,9/30/17,Austin,TX,
Centex Homes,,78741,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2007,,POINT (-97.69436797 30.22368901),,1,10/1/06,9/30/07,Austin,TX,
Streetman Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2014,,POINT (-97.702637975 30.299492008),,1,10/1/13,9/30/14,Austin,TX,
Austin Habitat for Humanity,,78744,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2017,,POINT (-97.761121028 30.179381012),,1,10/1/16,9/30/17,Austin,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2014,,POINT (-97.70192501 30.299774017),,1,10/1/13,9/30/14,Austin,TX,
Pacesetter Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2020,,POINT (-97.55604402 30.296828994),,1,10/1/19,9/30/20,Manor,TX,
Ash Creek Homes,,,,,,,,,,,,,,,,,,,,,,,,
Affordable Housing Construction,,78741,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.730729001 30.223568017),,1,10/1/03,9/30/04,Austin,TX,
Meritage Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2009,,POINT (-97.701646983 30.292001981),,1,10/1/08,9/30/09,Austin,TX,
Centex Homes,,78727,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.627233033 30.168797015),,1,10/1/04,9/30/05,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.733295037 30.197942988),,1,10/1/04,9/30/05,Austin,TX,
Lennar,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2014,,POINT (-97.700982968 30.197536005),,1,10/1/13,9/30/14,Austin,TX,
Centerra Homes,,78747,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2019,,POINT (-97.758119971 30.15335998),,1,10/1/18,9/30/19,Austin,TX,
Meritage Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.724798403 30.157600828),,1,10/1/20,9/30/21,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2016,,POINT (-97.69978796 30.294170003),,1,10/1/15,9/30/16,Austin,TX,
MileStone Community Builders,,78731,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.752264039 30.314743007),,1,10/1/20,9/30/21,Austin,TX,
Austin Habitat for Humanity,,78702,0,1,0,0,0,2-star,,Residential,,,Single Family,7.2,2006,,POINT (-97.678581997 30.272591002),,1,10/1/05,9/30/06,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2010.1,2017,,POINT (-97.766016981 30.142708006),,1,10/1/16,9/30/17,Austin,TX,
Meritage Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2009,,POINT (-97.702031963 30.291026998),,1,10/1/08,9/30/09,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2006,,POINT (-97.628885022 30.170943998),,1,10/1/05,9/30/06,Del Valle,TX,
Urbana Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2019,,POINT (-97.760218968 30.152916997),,1,10/1/18,9/30/19,Austin,TX,
Main Street Homes,,78748,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.828296031 30.15253298),,1,10/1/03,9/30/04,Austin,TX,
Pacesetter Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.716900035 30.149604008),,1,10/1/20,9/30/21,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2018,,POINT (-97.699971021 30.299306014),,1,10/1/17,9/30/18,Austin,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2001,,POINT (-97.872921032 30.204591011),,1,10/1/00,9/30/01,Austin,TX,
Buffington Homes,,78653,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2020,,POINT (-97.553588961 30.299355006),,1,10/1/19,9/30/20,Manor,TX,
Lennar,,78702,1,0,0,0,0,1-star,,Residential,,,Single Family,Version 8 Legacy data,2019,,POINT (-97.700164978 30.197872999),,1,10/1/18,9/30/19,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2010,,POINT (-97.747306981 30.152661013),,1,10/1/09,9/30/10,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2008.2,2015,,POINT (-97.744453027 30.155675984),,1,10/1/14,9/30/15,Austin,TX,
Barley + Pfeiffer Architects,,78703,0,0,0,0,1,5-star,,Residential,,,Single Family,2008.2,2011,,POINT (-97.766610001 30.277229003),,1,10/1/10,9/30/11,Austin,TX,
Grand Haven Homes,,78717,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2017,,POINT (-97.790902349 30.486968025),,1,10/1/16,9/30/17,Austin,TX,
Scott Felder Homes,,78729,0,1,0,0,0,2-star,,Residential,,,Single Family,2012.1,2017,,POINT (-97.788426167 30.483968142),,1,10/1/16,9/30/17,Austin,TX,
Legacy DCS,,78738,0,0,0,0,1,5-star,,Residential,,,Single Family,2016,2020,,POINT (-98.011888041 30.359782996),,1,10/1/19,9/30/20,Austin,TX,
Bridgewater Custom Homes,,78757,0,0,0,1,0,4-star,,Residential,,,Single Family,2013,2016,,POINT (-97.731204004 30.336885019),,1,10/1/15,9/30/16,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2007,,POINT (-97.740070968 30.152106006),,1,10/1/06,9/30/07,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2020,,POINT (-97.69750297 30.298991986),,1,10/1/19,9/30/20,Austin,TX,
Main Street Homes,,78747,0,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2011,,POINT (-97.750362017 30.158381998),,1,10/1/10,9/30/11,Austin,TX,
Clark Wilson Homes,,78746,1,0,0,0,0,1-star,,Residential,,,Single Family,6,1999,,POINT (-97.917185024 30.315817986),,1,10/1/98,9/30/99,Austin,TX,
Streetman Homes,,78723,0,0,0,0,1,5-star,,Residential,,,Single Family,8.1,2008,,POINT (-97.703411038 30.294698984),,1,10/1/07,9/30/08,Austin,TX,
Prominence Homes,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2021,,POINT (-97.654909993 30.372873014),,1,10/1/20,9/30/21,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2020,,POINT (-97.696831998 30.298257019),,1,10/1/19,9/30/20,Austin,TX,
Blue Horse Building & Design,,78746,0,0,0,0,1,5-star,,Residential,,,Single Family,2012.1,2014,,POINT (-97.789249019 30.298968014),,1,10/1/13,9/30/14,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2007,,POINT (-97.626198035 30.166999013),,1,10/1/06,9/30/07,Del Valle,TX,
Perry Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2019,,POINT (-97.720782029 30.150607992),,1,10/1/18,9/30/19,Austin,TX,
Constructinople,,78727,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2022,,POINT (-97.694678017 30.416427981),,1,10/1/21,9/30/22,Austin,TX,
Newmark Homes,,78759,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.776385982 30.409868011),,1,10/1/98,9/30/99,Austin,TX,
Casas Sendero Development/Westminster Meadows,,78722,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2004,,POINT (-97.64679497 30.288147982),,1,10/1/03,9/30/04,Austin,TX,
Grand Haven Homes,,78717,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2015,,POINT (-97.791279702 30.483300565),,1,10/1/14,9/30/15,Austin,TX,
KB Home,,78754,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2015,,POINT (-97.615801039 30.344821005),,1,10/1/14,9/30/15,Austin,TX,
NuHome Development Co.,,78748,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2005,,POINT (-97.814823965 30.182330981),,1,10/1/04,9/30/05,Austin,TX,
KB Home,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.618519961 30.172330993),,1,10/1/04,9/30/05,Del Valle,TX,
Wilshire Homes,,78751,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1996,,POINT (-97.681233025 30.422919011),,1,10/1/95,9/30/96,Austin,TX,
Newmark Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.899841023 30.369407013),,1,10/1/99,9/30/00,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2015,,POINT (-97.697258972 30.29175899),,1,10/1/14,9/30/15,Austin,TX,
David Weekley Homes,,78758,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.717030038 30.148104988),,1,10/1/20,9/30/21,Austin,TX,
David Weekley Homes,,78727,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2004,,POINT (-97.693009012 30.43194301),,1,10/1/03,9/30/04,Austin,TX,
Westminster Meadows,,,,,,,,,,,,,,,,,,,,,,,,
Hammonds Homes,,78738,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2005,,POINT (-97.973340004 30.318678017),,1,10/1/04,9/30/05,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,8 legacy,2014,,POINT (-97.766406991 30.141841988),,1,10/1/13,9/30/14,Austin,TX,
Casa Verde Builders,,78721,0,1,0,0,0,2-star,,Residential,,,Single Family,II,1997,,POINT (-97.679012994 30.273393989),,1,10/1/96,9/30/97,Austin,TX,
Austin Habitat for Humanity,,78741,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.696792017 30.23437602),,1,10/1/98,9/30/99,Austin,TX,
Urban Intown-Homes,,78723,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.679510963 30.292099002),,1,10/1/20,9/30/21,Austin,TX,
Loop Design,,78745,0,0,0,0,1,5-star,,Residential,,,Single Family,8.1,2009,,POINT (-97.806696034 30.225561988),,1,10/1/08,9/30/09,Austin,TX,
Lennar,,78617,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2019,,POINT (-97.591440965 30.148966983),,1,10/1/18,9/30/19,Del Valle,TX,
David Weekley Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2003,,POINT (-97.853614994 30.196274989),,1,10/1/02,9/30/03,Austin,TX,
Main Street Homes,,78702,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2006,,POINT (-97.761737014 30.211059996),,1,10/1/05,9/30/06,Austin,TX,
Townbridge Homes,,78748,0,0,1,0,0,3-star,,Residential,,,Single Family,2016,2019,,POINT (-97.835182016 30.17129499),,1,10/1/18,9/30/19,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.767099001 30.179927009),,1,10/1/04,9/30/05,Austin,TX,
Wilshire Homes,,78749,1,0,0,0,0,1-star,,Residential,,,Single Family,II,1996,,POINT (-97.860911022 30.221154993),,1,10/1/95,9/30/96,Austin,TX,
PSW Homes,,78745,0,0,0,0,1,5-star,,Residential,,,Single Family,20121,2016,,POINT (-97.783711011 30.206869003),,1,10/1/15,9/30/16,Austin,TX,
Newmark Homes,,78727,0,0,1,0,0,3-star,,Residential,,,Single Family,6,2002,,POINT (-97.905157999 30.37966202),,1,10/1/01,9/30/02,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2008,,POINT (-97.623485 30.1722813),,1,10/1/07,9/30/08,Del Valle,TX,
Avi Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2022,,POINT (-97.758916001 30.154275997),,1,10/1/21,9/30/22,Austin,TX,
David Weekley Homes,,78730,0,1,0,0,0,2-star,,Residential,,,Single Family,7,2006,,POINT (-97.856240961 30.360782999),,1,10/1/05,9/30/06,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.733022039 30.198883019),,1,10/1/03,9/30/04,Austin,TX,
Austin Housing Finance Corp.,,78702,0,1,0,0,0,2-star,,Residential,,,Single Family,II,1996,,POINT (-97.709486996 30.254604989),,1,10/1/95,9/30/96,Austin,TX,
Westminster Meadows,,,,,,,,,,,,,,,,,,,,,,,,
Newmark Homes,,78759,0,1,0,0,0,2-star,,Residential,,,Single Family,6,1999,,POINT (-97.775938976 30.410722001),,1,10/1/98,9/30/99,Austin,TX,
Clark Wilson Homes,,78733,1,0,0,0,0,1-star,,Residential,,,Single Family,6,1998,,POINT (-97.931291013 30.309783016),,1,10/1/97,9/30/98,Austin,TX,
Main Street Homes,,78748,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.82785003 30.152671994),,1,10/1/03,9/30/04,Austin,TX,
PSW Real Estate,,78745,0,0,0,0,1,5-star,,Residential,,,Single Family,20121,2015,,POINT (-97.777698002 30.205932995),,1,10/1/14,9/30/15,Austin,TX,
Streetman Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2012.1,2014,,POINT (-97.701028985 30.299350019),,1,10/1/13,9/30/14,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2004,,POINT (-97.768353018 30.181624009),,1,10/1/03,9/30/04,Austin,TX,
SDC Austin Commun.,,78724,0,0,1,0,0,3-star,,Residential,,,Single Family,II,1996,,POINT (-97.639549988 30.303187003),,1,10/1/95,9/30/96,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2021,,POINT (-97.718942034 30.147073008),,1,10/1/20,9/30/21,Austin,TX,
Kelly Grossman Architects,,,,,,,,,,,,,,,,,,,,,,,,
KB Home,,78751,1,0,0,0,0,1-star,,Residential,,,Single Family,Version 8 Legacy data,2019,,POINT (-97.616310994 30.347864013),,1,10/1/18,9/30/19,Austin,TX,
Centex Homes,,78741,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2007,,POINT (-97.693720971 30.222108015),,1,10/1/06,9/30/07,Austin,TX,
Lennar,,78652,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2018,,POINT (-97.808922016 30.12655302),,1,10/1/17,9/30/18,Austin,TX,
Urbana Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,2016,2020,,POINT (-97.760218968 30.152916997),,1,10/1/19,9/30/20,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2007,,POINT (-97.769567975 30.14043299),,1,10/1/06,9/30/07,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2007,,POINT (-97.767388009 30.140590989),,1,10/1/06,9/30/07,Austin,TX,
Hammonds Homes,,78704,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2002,,POINT (-97.77552097 30.242196),,1,10/1/01,9/30/02,Austin,TX,
