Organization,Project (sq.ft.),Zip Code,1 Star,2 Star,3 Star,4 Star,5 Star,AEGB Rating,LEED Certification,Building Use,Agreements,Voluntary Participation,Program,Rating Version,Fiscal Year Reported,PropertyID,New Georeferenced Column,Stories Above Grade,Number of Residential Units,Fiscal Year Date,Fiscal Year End Date,City,State,
DR Horton,,78752,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2020,,POINT (-97.719754995 30.343133016),,1,10/1/19,9/30/20,Austin,TX,
Newmark Homes,,78749,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2000,,POINT (-97.878260975 30.209297994),,1,10/1/99,9/30/00,Austin,TX,
KB Home,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2007,,POINT (-97.743613998 30.161473998),,1,10/1/06,9/30/07,Austin,TX,
KB Home,,78744,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.768299038 30.180077003),,1,10/1/04,9/30/05,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2016,,POINT (-97.699669021 30.293373009),,1,10/1/15,9/30/16,Austin,TX,
KRDB,,78721,0,0,0,0,1,5-star,,Residential,,,Single Family,8.2,2009,,POINT (-97.684799022 30.258663003),,1,10/1/08,9/30/09,Austin,TX,
Escarpment Construction,,78722,0,0,1,0,0,3-star,,Residential,,,Single Family,7,2003,,POINT (-97.71250096 30.289206994),,1,10/1/02,9/30/03,Austin,TX,
Clark Wilson Homes,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,6,1998,,POINT (-97.916239965 30.315557015),,1,10/1/97,9/30/98,Austin,TX,
D.R. Horton,,78752,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2018,,POINT (-97.720217005 30.342611997),,1,10/1/17,9/30/18,Austin,TX,
Centex Homes,,78617,1,0,0,0,0,1-star,,Residential,,,Single Family,7.1,2007,,POINT (-97.623485 30.1722813),,1,10/1/06,9/30/07,Del Valle,TX,
Standard Pacific Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2008.2,2012,,POINT (-97.702123997 30.296156011),,1,10/1/11,9/30/12,Austin,TX,
Buffington Homes,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2013,2018,,POINT (-97.715506962 30.158136995),,1,10/1/17,9/30/18,Austin,TX,
Main Street Homes,,78748,1,0,0,0,0,1-star,,Residential,,,Single Family,7,2005,,POINT (-97.828269041 30.149436998),,1,10/1/04,9/30/05,Austin,TX,
Austin Housing Finance Corp.,,78702,0,1,0,0,0,2-star,,Residential,,,Single Family,7.2,2006,,POINT (-97.708917026 30.267050984),,1,10/1/05,9/30/06,Austin,TX,
David Weekley Homes,,78723,0,0,1,0,0,3-star,,Residential,,,Single Family,2013,2017,,POINT (-97.698200009 30.294769979),,1,10/1/16,9/30/17,Austin,TX,
Lennar,,78747,1,0,0,0,0,1-star,,Residential,,,Single Family,7.2,2008,,POINT (-97.766588963 30.139256003),,1,10/1/07,9/30/08,Austin,TX,
David Weekley Homes,,78732,0,1,0,0,0,2-star,,Residential,,,Single Family,6,2003,,POINT (-97.905487995 30.378696006),,1,10/1/02,9/30/03,Austin,TX,
Brookfield Residential,,78744,0,1,0,0,0,2-star,,Residential,,,Single Family,2016,2022,,POINT (-97.71848698 30.145759983),,1,10/1/21,9/30/22,Austin,TX,
